url,title,poster_url,local_image_path,genres
https://www.imdb.com/title/tt13654226/,The Gorge,"https://m.media-amazon.com/images/M/MV5BOTQ5Y2QyYTktYmFmZi00NWJlLWE0MzgtYTA4M2I0ZjQwZjcxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",imdb_images\tt13654226.jpg,"Action, Adventure, Horror"
https://www.imdb.com/title/tt8999762/,The Brutalist,"https://m.media-amazon.com/images/M/MV5BM2U0MWRjZTMtMDVhNC00MzY4LTgwOTktZGQ2MDdiYTI4OWMxXkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",imdb_images\tt8999762.jpg,Drama
https://www.imdb.com/title/tt27714946/,The Monkey,"https://m.media-amazon.com/images/M/MV5BNzZhMTc5MWUtOTE2MS00MjUwLTljYWEtYTk1ZmVjNzhmMzYzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",imdb_images\tt27714946.jpg,Horror
https://www.imdb.com/title/tt14513804/,Captain America: Brave New World,"https://m.media-amazon.com/images/M/MV5BNDRjY2E0ZmEtN2QwNi00NTEwLWI3MWItODNkMGYwYWFjNGE0XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",imdb_images\tt14513804.jpg,"Action, Adventure, Sci-Fi"
https://www.imdb.com/title/tt5040012/,Nosferatu,"https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",imdb_images\tt5040012.jpg,"Fantasy, Horror, Mystery"
https://www.imdb.com/title/tt28607951/,Anora,"https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",imdb_images\tt28607951.jpg,"Comedy, Drama, Romance"
https://www.imdb.com/title/tt26584495/,Companion,"https://m.media-amazon.com/images/M/MV5BYjkyZTA5NzAtYWU3Zi00MWM4LTgxNzAtNDQxY2JmNjMwYjk4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",imdb_images\tt26584495.jpg,"Sci-Fi, Thriller"
https://www.imdb.com/title/tt11563598/,A Complete Unknown,"https://m.media-amazon.com/images/M/MV5BYTA2NTA5NDYtMzlkOC00MTQxLWI0NDQtMzk2M2YzMGE4MTkxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",imdb_images\tt11563598.jpg,"Biography, Drama, Music"
https://www.imdb.com/title/tt20215234/,Conclave,"https://m.media-amazon.com/images/M/MV5BYjgxMDI5NmMtNTU3OS00ZDQxLTgxZmEtNzY1ZTBmMDY4NDRkXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",imdb_images\tt20215234.jpg,"Drama, Thriller"
https://www.imdb.com/title/tt17526714/,The Substance,"https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",imdb_images\tt17526714.jpg,"Drama, Horror, Sci-Fi"
